Game_Name,Timestamp,Unit,Name,Value
Loto649,10/16/2020 9:17:30.85,Line-1,N-1,3
Loto649,10/16/2020 9:17:30.85,Line-1,N-2,5
Loto649,10/16/2020 9:17:30.85,Line-1,N-3,26
Loto649,10/16/2020 9:17:30.85,Line-1,N-4,27
Loto649,10/16/2020 9:17:30.85,Line-1,N-5,39
Loto649,10/16/2020 9:17:30.85,Line-1,N-6,40
Loto649,10/16/2020 9:17:30.85,Line-2,N-1,18
Loto649,10/16/2020 9:17:30.85,Line-2,N-2,29
Loto649,10/16/2020 9:17:30.85,Line-2,N-3,30
Loto649,10/16/2020 9:17:30.85,Line-2,N-4,42
Loto649,10/16/2020 9:17:30.85,Line-2,N-5,43
Loto649,10/16/2020 9:17:30.85,Line-2,N-6,47
Loto649,10/16/2020 9:17:30.85,Line-3,N-1,4
Loto649,10/16/2020 9:17:30.85,Line-3,N-2,9
Loto649,10/16/2020 9:17:30.85,Line-3,N-3,11
Loto649,10/16/2020 9:17:30.85,Line-3,N-4,19
Loto649,10/16/2020 9:17:30.85,Line-3,N-5,21
Loto649,10/16/2020 9:17:30.85,Line-3,N-6,25
Loto649,10/16/2020 9:17:30.85,Line-4,N-1,2
Loto649,10/16/2020 9:17:30.85,Line-4,N-2,14
Loto649,10/16/2020 9:17:30.85,Line-4,N-3,17
Loto649,10/16/2020 9:17:30.85,Line-4,N-4,22
Loto649,10/16/2020 9:17:30.85,Line-4,N-5,33
Loto649,10/16/2020 9:17:30.85,Line-4,N-6,36
Loto649,10/16/2020 9:17:30.85,Line-5,N-1,1
Loto649,10/16/2020 9:17:30.85,Line-5,N-2,8
Loto649,10/16/2020 9:17:30.85,Line-5,N-3,13
Loto649,10/16/2020 9:17:30.85,Line-5,N-4,23
Loto649,10/16/2020 9:17:30.85,Line-5,N-5,41
Loto649,10/16/2020 9:17:30.85,Line-5,N-6,45
Loto649,10/16/2020 9:17:30.85,Line-6,N-1,7
Loto649,10/16/2020 9:17:30.85,Line-6,N-2,16
Loto649,10/16/2020 9:17:30.85,Line-6,N-3,28
Loto649,10/16/2020 9:17:30.85,Line-6,N-4,31
Loto649,10/16/2020 9:17:30.85,Line-6,N-5,35
Loto649,10/16/2020 9:17:30.85,Line-6,N-6,46
Loto649,10/16/2020 9:17:30.85,Line-7,N-1,10
Loto649,10/16/2020 9:17:30.85,Line-7,N-2,15
Loto649,10/16/2020 9:17:30.85,Line-7,N-3,20
Loto649,10/16/2020 9:17:30.85,Line-7,N-4,24
Loto649,10/16/2020 9:17:30.85,Line-7,N-5,44
Loto649,10/16/2020 9:17:30.85,Line-7,N-6,48
Loto649,10/16/2020 9:17:30.85,Line-8,N-1,6
Loto649,10/16/2020 9:17:30.85,Line-8,N-2,12
Loto649,10/16/2020 9:17:30.85,Line-8,N-3,32
Loto649,10/16/2020 9:17:30.85,Line-8,N-4,34
Loto649,10/16/2020 9:17:30.85,Line-8,N-5,37
Loto649,10/16/2020 9:17:30.85,Line-8,N-6,38
LotoJoker,10/16/2020 9:17:30.95,Line-1,N-1,2
LotoJoker,10/16/2020 9:17:30.95,Line-1,N-2,5
LotoJoker,10/16/2020 9:17:30.95,Line-1,N-3,9
LotoJoker,10/16/2020 9:17:30.95,Line-1,N-4,13
LotoJoker,10/16/2020 9:17:30.95,Line-1,N-5,38
LotoJoker,10/16/2020 9:17:30.95,Line-1,J,11
LotoJoker,10/16/2020 9:17:30.95,Line-2,N-1,6
LotoJoker,10/16/2020 9:17:30.95,Line-2,N-2,14
LotoJoker,10/16/2020 9:17:30.95,Line-2,N-3,19
LotoJoker,10/16/2020 9:17:30.95,Line-2,N-4,26
LotoJoker,10/16/2020 9:17:30.95,Line-2,N-5,35
LotoJoker,10/16/2020 9:17:30.95,Line-2,J,10
LotoJoker,10/16/2020 9:17:30.95,Line-3,N-1,12
LotoJoker,10/16/2020 9:17:30.95,Line-3,N-2,22
LotoJoker,10/16/2020 9:17:30.95,Line-3,N-3,25
LotoJoker,10/16/2020 9:17:30.95,Line-3,N-4,27
LotoJoker,10/16/2020 9:17:30.95,Line-3,N-5,30
LotoJoker,10/16/2020 9:17:30.95,Line-3,J,14
LotoJoker,10/16/2020 9:17:30.95,Line-4,N-1,23
LotoJoker,10/16/2020 9:17:30.95,Line-4,N-2,24
LotoJoker,10/16/2020 9:17:30.95,Line-4,N-3,37
LotoJoker,10/16/2020 9:17:30.95,Line-4,N-4,41
LotoJoker,10/16/2020 9:17:30.95,Line-4,N-5,45
LotoJoker,10/16/2020 9:17:30.95,Line-4,J,17
LotoJoker,10/16/2020 9:17:30.95,Line-5,N-1,1
LotoJoker,10/16/2020 9:17:30.95,Line-5,N-2,18
LotoJoker,10/16/2020 9:17:30.95,Line-5,N-3,39
LotoJoker,10/16/2020 9:17:30.95,Line-5,N-4,42
LotoJoker,10/16/2020 9:17:30.95,Line-5,N-5,44
LotoJoker,10/16/2020 9:17:30.95,Line-5,J,2
LotoJoker,10/16/2020 9:17:30.95,Line-6,N-1,11
LotoJoker,10/16/2020 9:17:30.95,Line-6,N-2,21
LotoJoker,10/16/2020 9:17:30.95,Line-6,N-3,33
LotoJoker,10/16/2020 9:17:30.95,Line-6,N-4,40
LotoJoker,10/16/2020 9:17:30.95,Line-6,N-5,43
LotoJoker,10/16/2020 9:17:30.95,Line-6,J,5
LotoJoker,10/16/2020 9:17:30.95,Line-7,N-1,20
LotoJoker,10/16/2020 9:17:30.95,Line-7,N-2,28
LotoJoker,10/16/2020 9:17:30.95,Line-7,N-3,29
LotoJoker,10/16/2020 9:17:30.95,Line-7,N-4,31
LotoJoker,10/16/2020 9:17:30.95,Line-7,N-5,36
LotoJoker,10/16/2020 9:17:30.95,Line-7,J,9
LotoJoker,10/16/2020 9:17:30.95,Line-8,N-1,3
LotoJoker,10/16/2020 9:17:30.95,Line-8,N-2,4
LotoJoker,10/16/2020 9:17:30.95,Line-8,N-3,17
LotoJoker,10/16/2020 9:17:30.95,Line-8,N-4,32
LotoJoker,10/16/2020 9:17:30.95,Line-8,N-5,34
LotoJoker,10/16/2020 9:17:30.95,Line-8,J,7
LotoJoker,10/16/2020 9:17:30.95,Line-9,N-1,7
LotoJoker,10/16/2020 9:17:30.95,Line-9,N-2,8
LotoJoker,10/16/2020 9:17:30.95,Line-9,N-3,10
LotoJoker,10/16/2020 9:17:30.95,Line-9,N-4,15
LotoJoker,10/16/2020 9:17:30.95,Line-9,N-5,16
LotoJoker,10/16/2020 9:17:30.95,Line-9,J,3
